Date,Open,High,Low,Close,Adj Close,Volume
16/6/2004,0.875,0.925,0.815,0.83,0.802119,2198875000
17/6/2004,0.83,0.875,0.825,0.845,0.816615,419007500
18/6/2004,0.84,0.85,0.79,0.805,0.777959,182990000
21/6/2004,0.82,0.825,0.79,0.8,0.773127,114085000
22/6/2004,0.8,0.8,0.8,0.8,0.773127,0
23/6/2004,0.81,0.89,0.805,0.885,0.855272,275080000
24/6/2004,0.895,0.905,0.865,0.89,0.860104,173615000
25/6/2004,0.895,0.91,0.87,0.88,0.850439,106062500
28/6/2004,0.88,0.88,0.85,0.865,0.835943,73730000
29/6/2004,0.86,0.885,0.86,0.865,0.835943,75407500
30/6/2004,0.875,0.885,0.86,0.86,0.831111,61085000
1/7/2004,0.86,0.86,0.86,0.86,0.831111,0
2/7/2004,0.855,0.875,0.835,0.87,0.840775,65130000
5/7/2004,0.87,0.87,0.87,0.87,0.840775,0
6/7/2004,0.875,0.89,0.87,0.88,0.850439,77145000
7/7/2004,0.875,0.875,0.85,0.855,0.826279,65675000
8/7/2004,0.85,0.85,0.815,0.82,0.792455,105745000
9/7/2004,0.82,0.825,0.805,0.815,0.787623,46880000
12/7/2004,0.815,0.825,0.795,0.8,0.773127,59850000
13/7/2004,0.8,0.81,0.795,0.805,0.777959,54670000
14/7/2004,0.805,0.805,0.75,0.76,0.73447,98190000
15/7/2004,0.765,0.765,0.71,0.735,0.71031,56595000
16/7/2004,0.73,0.75,0.725,0.74,0.715142,20632500
19/7/2004,0.74,0.755,0.72,0.755,0.729638,26605000
20/7/2004,0.745,0.755,0.74,0.75,0.724806,17180000
21/7/2004,0.76,0.775,0.75,0.755,0.729638,52475000
22/7/2004,0.75,0.75,0.7,0.71,0.68615,69155000
23/7/2004,0.71,0.715,0.7,0.705,0.681318,23340000
26/7/2004,0.69,0.7,0.675,0.68,0.657158,37195000
27/7/2004,0.675,0.745,0.675,0.745,0.719974,89530000
28/7/2004,0.745,0.75,0.725,0.735,0.71031,21025000
29/7/2004,0.725,0.755,0.72,0.75,0.724806,17490000
30/7/2004,0.76,0.775,0.745,0.77,0.744135,50325000
2/8/2004,0.77,0.775,0.74,0.775,0.748967,26760000
3/8/2004,0.78,0.795,0.775,0.79,0.763463,63695000
4/8/2004,0.78,0.785,0.765,0.77,0.744135,14245000
5/8/2004,0.78,0.805,0.78,0.795,0.768295,33925000
6/8/2004,0.785,0.81,0.785,0.8,0.773127,21670000
9/8/2004,0.8,0.8,0.79,0.8,0.773127,22485000
10/8/2004,0.81,0.81,0.775,0.775,0.748967,21045000
11/8/2004,0.785,0.785,0.735,0.735,0.71031,32825000
12/8/2004,0.735,0.75,0.725,0.75,0.724806,25865000
13/8/2004,0.735,0.75,0.735,0.75,0.724806,4885000
16/8/2004,0.74,0.755,0.72,0.75,0.724806,13325000
17/8/2004,0.75,0.75,0.735,0.74,0.715142,4467500
18/8/2004,0.75,0.75,0.74,0.74,0.715142,3380000
19/8/2004,0.745,0.76,0.735,0.74,0.715142,19895000
20/8/2004,0.745,0.745,0.735,0.745,0.719974,17280000
23/8/2004,0.75,0.75,0.715,0.73,0.705478,10750000
24/8/2004,0.73,0.73,0.71,0.72,0.695814,16340000
25/8/2004,0.725,0.725,0.695,0.695,0.671654,24090000
26/8/2004,0.71,0.715,0.675,0.68,0.657158,42080000
27/8/2004,0.69,0.705,0.685,0.7,0.676486,49480000
30/8/2004,0.7,0.71,0.695,0.695,0.671654,10630000
31/8/2004,0.705,0.735,0.695,0.735,0.71031,11450000
1/9/2004,0.735,0.735,0.72,0.725,0.700646,10360000
2/9/2004,0.73,0.73,0.72,0.725,0.700646,15245000
3/9/2004,0.73,0.73,0.715,0.715,0.690982,9350000
6/9/2004,0.72,0.735,0.715,0.73,0.705478,12185000
7/9/2004,0.735,0.755,0.735,0.755,0.729638,40300000
8/9/2004,0.75,0.75,0.735,0.745,0.719974,8555000
9/9/2004,0.735,0.74,0.73,0.73,0.705478,3460000
10/9/2004,0.73,0.74,0.725,0.74,0.715142,3110000
13/9/2004,0.725,0.725,0.69,0.695,0.671654,37100000
14/9/2004,0.7,0.73,0.7,0.72,0.695814,18055000
15/9/2004,0.74,0.765,0.735,0.755,0.729638,72400000
